C1, 20.32, 30.48, 90.00, 150nF, 450V, CAPC4720X175N
C2, 27.94, 27.94, 180.00, 150nF, 450V, CAPC4720X175N
C7, 40.64, 63.50, 270.00, 1,8nF, 50V, C0805
C8, 62.23, 58.42, 90.00, 100nF, 50V, CAPC2012X88N
COMPARATEUR, 45.72, 20.32, 270.00, SOT-23, SOT95P280X145-5N
CONVERTER, 45.72, 45.72, 180.00, VIPER16HD, SOIC127P600X175-16N
CONVERTER_12VDC-5VDC, 69.36, 59.69, 270.00, SOT-89, ST-SOT-89
D1, 48.26, 57.15, 90.00, 1N4148_SOD-123_, SOD3716X135N
D2, 54.61, 57.15, 270.00, STTH108A, DIOM5126X265N
D3, 60.96, 63.50, 180.00, 1N4148_SOD-123_, SOD3716X135N
D4, 53.34, 63.50, 0.00, STTH108A, DIOM5126X265N
NMOS, 43.18, 26.67, 0.00, SOT-23, SOT96P240X110-3N
R10, 35.56, 26.67, 0.00, 100Ω, R0603
R11, 20.32, 19.05, 180.00, 100kΩ, R0603
R12, 25.40, 19.05, 180.00, 100kΩ, R0603
R13, 30.48, 19.05, 180.00, 100kΩ, R0603
R14, 35.56, 19.05, 180.00, 100kΩ, R0603
R15, 40.64, 19.05, 180.00, 100kΩ, R0603
R16, 40.64, 22.86, 180.00, 100kΩ, R0603
R17, 35.56, 22.86, 180.00, 100kΩ, R0603
R18, 30.48, 22.86, 180.00, 100kΩ, R0603
R19, 25.40, 22.86, 180.00, 100kΩ, R0603
R2, 22.86, 43.18, 90.00, 750kΩ, M3216
R20, 20.32, 22.86, 180.00, 7,5kΩ, R0603
R21, 52.07, 22.86, 180.00, 10kΩ, R0603
R22, 57.15, 22.86, 180.00, 10kΩ, R0603
R23, 62.23, 22.86, 180.00, 10kΩ, R0603
R24, 67.31, 22.86, 180.00, 10kΩ, R0603
R25, 72.39, 22.86, 180.00, 10kΩ, R0603
R26, 72.39, 19.05, 180.00, 10kΩ, R0603
R27, 67.31, 19.05, 180.00, 10kΩ, R0603
R28, 62.23, 19.05, 180.00, 10kΩ, R0603
R29, 57.15, 19.05, 180.00, 10kΩ, R0603
R3, 21.59, 36.83, 180.00, 750kΩ, M3216
R30, 52.07, 19.05, 180.00, 10kΩ, R0603
R4, 26.67, 33.02, 180.00, 750kΩ, M3216
R5, 34.29, 33.02, 180.00, 750kΩ, M3216
R6, 45.72, 63.50, 270.00, 1kΩ, M2012
R7, 43.18, 54.61, 180.00, 9,1kΩ, M2012
R8, 39.37, 58.42, 270.00, 24kΩ, M2012
