C101, 36.00, 8.00, 90.00, 100n, C0603
C102, 36.00, 24.00, 90.00, 100n, C0603
C103, 12.00, 6.00, 270.00, 10µ, C1206
C104, 9.00, 6.00, 90.00, 10µ, C1206K
C105, 36.00, 16.00, 90.00, 100n, C0603
C106, 8.00, 32.50, 90.00, 10µ, C1206
C107, 10.50, 32.00, 90.00, 100n, C0603
C108, 23.80, 32.50, 90.00, 10µ, C1206
C109, 21.50, 32.00, 270.00, 100n, C0603
C110, 15.00, 4.00, 270.00, 100n, C0603
D101, 18.00, 8.00, 90.00, DF2B36FU, SOD323
D102, 15.00, 8.00, 90.00, DF2B36FU, SOD323
D103, 21.00, 24.00, 90.00, MCL4148, MICROMELF
D104, 9.00, 12.00, 90.00, DF2B36FU, SOD323
I101, 30.00, 22.00, 0.00, LM393AD, SOIC127P600X175-8N
I102, 30.00, 8.00, 0.00, LM393AD, SOIC127P600X175-8N
I103, 30.00, 15.00, 0.00, LM393AD, SOIC127P600X175-8N
I104, 30.00, 2.50, 0.00, SN74AUC1G02DBVR, SOT95P280X145-5N
I105, 16.00, 32.00, 270.00, LM1117MPX-5.0, LINEAR_SOT223
R102, 36.00, 20.00, 270.00, 10k, R0603
R103, 39.00, 24.00, 270.00, 10k, R0603
R104, 24.00, 8.00, 90.00, 39k, R0603
R105, 42.00, 12.00, 90.00, 39k, R0603
R106, 42.00, 16.00, 90.00, 10k, R0603
R107, 21.00, 20.00, 270.00, 10k, R0603
R108, 18.00, 12.00, 270.00, 10k, R0603
R109, 39.00, 8.00, 270.00, 39k, R0603
R110, 24.00, 24.00, 270.00, 100R, R0603
R111, 42.00, 20.00, 90.00, 10k, R0603
R112, 39.00, 20.00, 90.00, 100, R0603
R113, 21.00, 8.00, 270.00, 100k, R0603
R114, 42.00, 8.00, 90.00, 10k, R0603
R116, 36.00, 12.00, 270.00, 10k, R0603
R117, 39.00, 16.00, 270.00, 10k, R0603
R118, 15.00, 12.00, 270.00, 10k, R0603
R119, 24.00, 12.00, 270.00, 680k, R0603
R120, 42.00, 24.00, 270.00, 10k, R0603
R121, 39.00, 12.00, 90.00, 100, R0603
R122, 24.00, 20.00, 270.00, 100R, R0603
R123, 12.00, 12.00, 90.00, 100k, R0603
R124, 21.00, 12.00, 90.00, 100k, R0603
R125, 18.00, 4.00, 270.00, 680k, R0603
T101, 22.50, 16.00, 90.00, Si2309CDS, SOT-23
T102, 22.50, 28.00, 90.00, BSS138, SOT-23
T103, 22.50, 4.00, 90.00, BSS138, SOT-23
