C3, 50.80, 5.71, 270.00, 100nF, C0603
C4, 31.12, 7.62, 90.00, 100nF, C0603
C5, 33.02, 30.48, 90.00, 10μF, C0603
COMPARATEUR, 31.75, 25.40, 270.00, TS391ILT, SOT95P280X145-5N
D1, 38.73, 8.89, 0.00, CDSOD323-T15SC, SOD-323
D2, 37.47, 36.20, 180.00, BAV16W-7-F, SOD3716X145N
D3, 38.10, 23.50, 180.00, BAV16W-7-F, SOD3716X145N
IC1, 36.51, 13.97, 180.00, L4941BDT-TR, TO228P972X240-3N
IC2, 10.16, 20.32, 270.00, TS391ILT, SOT95P280X145-5N
IC3, 22.86, 22.23, 180.00, ADUM5242ARZ, SOIC127P600X175-8N
NMOS, 36.83, 29.21, 0.00, DMN2041L-7, SOT96P240X110-3N
Q1, 31.75, 36.83, 90.00, DMN2041L-7, SOT96P240X110-3N
R1, 10.16, 3.81, 180.00, 100kΩ, R0603
R10, 13.97, 13.97, 0.00, 100kΩ, R0603
R11, 10.16, 16.51, 180.00, 8,3kΩ, R0603
R12, 13.97, 34.29, 180.00, 100kΩ, R0603
R13, 13.97, 36.83, 0.00, 100kΩ, R0603
R14, 10.16, 36.83, 0.00, 100kΩ, R0603
R15, 13.97, 31.75, 180.00, 100kΩ, R0603
R16, 10.16, 31.75, 180.00, 100kΩ, R0603
R17, 10.16, 34.29, 0.00, 100kΩ, R0603
R18, 10.16, 29.21, 180.00, 100kΩ, R0603
R19, 13.97, 29.21, 180.00, 100kΩ, R0603
R2, 13.97, 3.81, 180.00, 100kΩ, R0603
R20, 10.16, 26.67, 0.00, 100kΩ, R0603
R21, 13.97, 26.67, 180.00, 100kΩ, R0603
R22, 10.16, 24.13, 0.00, 7,87kΩ, R0603
R23, 13.97, 17.78, 270.00, 100kΩ, R0603
R24, 30.48, 30.48, 270.00, 100kΩ, R0603
R25, 31.75, 21.59, 180.00, 100kΩ, R0603
R26, 31.75, 19.05, 0.00, 10kΩ, R0603
R27, 31.75, 33.66, 180.00, 10kΩ, R0603
R28, 36.83, 33.02, 180.00, 10kΩ, R0603
R3, 13.97, 6.35, 0.00, 100kΩ, R0603
R4, 10.16, 6.35, 180.00, 100kΩ, R0603
R5, 10.16, 8.89, 0.00, 100kΩ, R0603
R6, 13.97, 8.89, 0.00, 100kΩ, R0603
R7, 13.97, 11.43, 0.00, 100kΩ, R0603
R8, 10.16, 11.43, 0.00, 100kΩ, R0603
R9, 10.16, 13.97, 180.00, 100kΩ, R0603
