"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"2";"";"22-23-2061";"22-23-2061";"AUX_CONTACT, POWER_AND_TSAL_SIGNAL";".100" (2.54mm) Center Header - 6 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2061";"1462922";"27C1933";"6";"";
"10";"100kΩ";"R-US_R0603";"R0603";"R2, R3, R4, R5, R6, R7, R8, R9, R10, R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"4";"100nF";"C-EUC0603";"C0603";"C2, C3, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
"4";"10kΩ";"R-US_R0603";"R0603";"R1, R12, R15, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"2";"22-23-2021";"22-23-2021";"22-23-2021";"HV+, HV-";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";"40";"";
"1";"7,5kΩ";"R-US_R0603";"R0603";"R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"77";"R";
"1";"ADUM5242ARZ";"ADUM5242ARZ";"SOIC127P600X175-8N";"IC6";"Analog Devices ADUM5242ARZ PCB SMT 2-channel Digital Isolator, 2500 V, 8-Pin SOIC";"ADUM5242ARZ";"https://www.arrow.com/en/products/adum5242arz/analog-devices";"Analog Devices ADUM5242ARZ PCB SMT 2-channel Digital Isolator, 2500 V, 8-Pin SOIC";"mm";"Analog Devices";"ADUM5242ARZ";"";"584-ADUM5242ARZ";"https://www.mouser.co.uk/ProductDetail/Analog-Devices/ADUM5242ARZ?qs=WIvQP4zGanhQ0%252B41E0Savw%3D%3D";"";"";"";"";"";
"1";"CDSOD323-T15SC";"CDSOD323-T15SC";"SOD-323";"D1";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"CDSOD323-T15SC";"https://www.arrow.com/en/products/cdsod323-t15sc/bourns?region=nac";"TVS Diode ESD 15V BiDirectional SOD323 Bourns CDSOD323-T15SC Bi-Directional TVS Diode, 400W peak, 2-Pin SOD-323";"mm";"Bourns";"CDSOD323-T15SC";"";"652-CDSOD323-T15SC";"https://www.mouser.co.uk/ProductDetail/Bourns/CDSOD323-T15SC?qs=6S5Watp5UnLvz%2FtnS7XuhA%3D%3D";"";"";"";"";"";
"2";"ECA1VM100";"ECA1VM100";"CAPPRD200W55D525H1200";"C1, C4";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"";"";"M radial Al elect cap,10uF 35V 85deg C Panasonic 10uF 35 V dc Aluminium Electrolytic Capacitor, M Series 2000h";"12mm";"Panasonic";"ECA1VM100";"";"";"";"";"";"";"";"";
"1";"L4941BDT-TR";"L4941BDT-TR";"TO228P972X240-3N";"IC2";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"L4941BDT-TR";"https://www.arrow.com/en/products/l4941bdt-tr/stmicroelectronics?region=nac";"L4941BDT-TR, Low Dropout Voltage Regulator, 1A, 5 V +/-4%, 3-Pin DPAK";"2.4mm";"STMicroelectronics";"L4941BDT-TR";"";"511-L4941BDT-TR";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/L4941BDT-TR?qs=tPFdqECvbMIySYN92F2N4Q%3D%3D";"";"";"";"";"";
"1";"TS391ILT";"TS391ILT";"SOT95P280X145-5N";"IC5";"TS391ILT, Comparator Open Collector 0.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 5-Pin SOT-23";"TS391ILT";"https://www.arrow.com/en/products/ts391ilt/stmicroelectronics?region=nac";"TS391ILT, Comparator Open Collector 0.3us 12 V, 15 V, 18 V, 24 V, 28 V, 3 V, 5 V, 9 V 5-Pin SOT-23";"1.45mm";"STMicroelectronics";"TS391ILT";"";"511-TS391IL";"https://www.mouser.co.uk/ProductDetail/STMicroelectronics/TS391ILT?qs=P8h1tZw8GcB9GWR61XM17g%3D%3D";"";"";"";"";"";
