C2, 32.77, 7.37, 90.00, 100nF, C0603
C3, 33.02, 23.37, 270.00, 100nF, C0603
C5, 7.87, 6.86, 90.00, 100nF, C0603
C6, 30.73, 23.37, 270.00, 100nF, C0603
D1, 30.48, 7.37, 90.00, CDSOD323-T15SC, SOD-323
IC1, 33.02, 14.29, 90.00, L4941BDT-TR, TO228P972X240-3N
IC2, 14.10, 10.58, 180.00, TS391ILT, SOT95P280X145-5N
IC3, 22.86, 15.24, 180.00, ADUM5242ARZ, SOIC127P600X175-8N
R1, 7.87, 24.13, 90.00, 100kΩ, R0603
R10, 10.41, 10.58, 90.00, 7,5kΩ, R0603
R11, 12.95, 6.86, 270.00, 10kΩ, R0603
R12, 10.41, 6.86, 90.00, 100kΩ, R0603
R2, 10.41, 24.13, 270.00, 100kΩ, R0603
R3, 12.95, 24.13, 270.00, 100kΩ, R0603
R4, 12.95, 20.83, 90.00, 100kΩ, R0603
R5, 10.41, 20.83, 90.00, 100kΩ, R0603
R6, 10.41, 17.53, 90.00, 100kΩ, R0603
R7, 12.95, 17.53, 270.00, 100kΩ, R0603
R8, 12.95, 14.22, 270.00, 100kΩ, R0603
R9, 10.41, 14.22, 270.00, 100kΩ, R0603
